Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-07-10,1016.0686645507812,993.3341674804688,1061.5376586914062,1089.472900390625,Profit,73.40423583984375,1,1,0,100.0
2018-08-20,1223.3043212890625,1196.557861328125,1276.7972412109375,1265.5042724609375,Profit,42.199951171875,2,2,0,100.0
2019-04-04,1340.3448486328125,1366.0511474609375,1288.9322509765625,1321.9195556640625,Profit,-18.42529296875,3,3,0,100.0
2019-05-20,1313.4498291015625,1301.2652587890625,1337.8189697265625,1321.3746337890625,Profit,7.9248046875,4,4,0,100.0
2019-06-24,1250.5460205078125,1260.2044677734375,1231.2291259765625,1262.185791015625,Loss,11.6397705078125,5,4,1,80.0
2019-09-19,1167.978759765625,1196.50830078125,1110.919677734375,1266.6929931640625,Loss,98.7142333984375,6,4,2,66.66666666666666
2019-09-27,1296.758056640625,1280.3634033203125,1329.54736328125,1298.7392578125,Profit,1.981201171875,7,5,2,71.42857142857143
2020-04-20,1232.1207275390625,1214.4879150390625,1267.3863525390625,1358.0272216796875,Profit,125.906494140625,8,6,2,75.0
2021-01-11,1897.25,1938.800048828125,1814.14990234375,1960.5999755859375,Loss,63.3499755859375,9,6,3,66.66666666666666
2021-01-18,1983.949951171875,1949.0999755859375,2053.64990234375,2099.39990234375,Profit,115.449951171875,10,7,3,70.0
2021-02-25,2144.35009765625,2076.0,2281.05029296875,2106.0,Loss,-38.35009765625,11,7,4,63.63636363636363
2021-05-25,1963.1500244140625,1996.4000244140625,1896.6500244140625,2094.800048828125,Loss,131.6500244140625,12,7,5,58.333333333333336
2021-05-28,2094.800048828125,1990.0,2304.400146484375,2201.25,Profit,106.449951171875,13,8,5,61.53846153846154
2022-02-04,2331.300048828125,2341.0,2311.900146484375,2383.5,Loss,52.199951171875,14,8,6,57.14285714285714
2022-06-08,2724.050048828125,2772.75,2626.650146484375,2662.89990234375,Profit,-61.150146484375,15,9,6,60.0
2022-07-19,2437.10009765625,2400.300048828125,2510.7001953125,2503.10009765625,Profit,66.0,16,10,6,62.5
2023-02-08,2351.949951171875,2313.0,2429.849853515625,2323.35009765625,Loss,-28.599853515625,17,10,7,58.82352941176471
2023-03-03,2385.39990234375,2349.14990234375,2457.89990234375,2359.25,Loss,-26.14990234375,18,10,8,55.55555555555556
2023-07-31,2549.25,2527.85009765625,2592.0498046875,2475.89990234375,Loss,-73.35009765625,19,10,9,52.63157894736842
