Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-01-08,3786.75,3773.0,3814.25,3705.64990234375,Loss,-81.10009765625,1,0,1,0.0
2018-02-26,3537.85009765625,3519.0,3575.55029296875,3576.89990234375,Profit,39.0498046875,2,1,1,50.0
2018-07-06,3637.10009765625,3509.300048828125,3892.7001953125,3536.60009765625,Loss,-100.5,3,1,2,33.33333333333333
2020-02-14,2356.5,2424.0,2221.5,2251.60009765625,Profit,-104.89990234375,4,2,2,50.0
2021-03-12,3350.550048828125,3355.0,3341.650146484375,3190.550048828125,Profit,-160.0,5,3,2,60.0
2021-09-27,2912.949951171875,2841.0,3056.849853515625,2832.5,Loss,-80.449951171875,6,3,3,50.0
2022-03-29,2210.64990234375,2385.0,1861.94970703125,2240.14990234375,Loss,29.5,7,3,4,42.857142857142854
2022-05-12,2401.199951171875,2459.0,2285.599853515625,2523.5,Loss,122.300048828125,8,3,5,37.5
2022-08-08,2738.050048828125,2770.0,2674.150146484375,2761.89990234375,Loss,23.849853515625,9,3,6,33.33333333333333
